,Price,Title,Year,Mileage,Transmission,Fuel Type,Location
0,R 128 000,BMW M3 Convertible (e46) ,2002,194 127 Km,Manual,Petrol,"Evelyn Motors(Johannesburg, Gauteng)"
1,R 149 950,BMW M3 4d (e36) ,1997,180 182 Km,Manual,Petrol,"Anglo Car Dealers(Benoni, Gauteng)"
2,R 229 900,BMW M3 (e46) ,2003,230 000 Km,Manual,Petrol,"Mr Motors(Centurion, Gauteng)"
3,R 249 950,BMW M3 (e46) ,2004,161 000 Km,Manual,Petrol,"Carbon Black Auto(Sandton, Gauteng)"
4,R 249 995,BMW M3 Smg (e46) ,2004,125 000 Km,Automatic,Petrol,"Autohaus Angel Milnerton(Milnerton, Western Cape)"
5,R 299 900,BMW M3 2d (e36) ,1995,153 500 Km,Manual,Petrol,"First Car Sales(Johannesburg, Gauteng)"
6,R 319 990,BMW M3 BMW M3 Manual ,2009,129 000 Km,Manual,Petrol,"Sure Drive(Durban, Kwazulu Natal)"
7,R 319 990,BMW M3 ,2009,129 000 Km,Manual,Petrol,"Sure Drive Pinetown(Pinetown, Kwazulu Natal)"
8,R 329 950,BMW M3 M-dct ,2009,135 365 Km,Automatic,Petrol,"Bakwena Auto Sales(Karenpark, Gauteng)"
9,R 329 990,BMW M3 Coupe ,2009,150 000 Km,Manual,Petrol,"Xquisite Auto(Umhlanga Rocks, Kwazulu Natal)"
10,R 329 995,BMW M3 Coupe M-dct ,2009,130 000 Km,Automatic,Petrol,"Demo Cars(Pretoria, Gauteng)"
11,R 359 950,BMW M3 Coupe M-dct Auto (E92),2012,140 533 Km,Automatic,Petrol,"Sollys Car Sales(Nigel, Gauteng)"
12,R 369 900,BMW M3 (e46) ,2005,136 327 Km,Manual,Petrol,"The Auto Agents(Randburg, Gauteng)"
13,R 379 900,BMW M3 M3 COUPE AUTO,2008,97 000 Km,Automatic,Petrol,"Northcliff Exclusive Cars(Randburg, Gauteng)"
14,R 379 990,BMW M3 Coupe M-dct ,2010,114 000 Km,Automatic,Petrol,"Aksons Wheels DBN(Durban, Kwazulu Natal)"
15,R 379 990,BMW M3 Convertible M Dynamic M-dct ,2008,109 000 Km,Automatic,Petrol,"KMH Durban(Durban, Kwazulu Natal)"
16,R 399 900,BMW M3 Coupe M-dct ,2010,92 000 Km,Automatic,Petrol,"Moto Mania(Benoni, Gauteng)"
17,R 399 900,BMW M3 M3 COUPE AUTO,2009,83 000 Km,Automatic,Petrol,"Northcliff Exclusive Cars(Randburg, Gauteng)"
18,R 399 950,BMW M3 Coupe M Dynamic ,2008,92 314 Km,Manual,Petrol,"Bakwena Auto Sales(Karenpark, Gauteng)"
19,R 449 900,BMW M3 (e46) ,2005,137 000 Km,Manual,Petrol,"F & J Car Sales(Vereeniging, Gauteng)"
20,R 449 950,BMW M3 M Dynamic M-dct ,2010,64 000 Km,Automatic,Petrol,"Get More Car(Rivonia, Gauteng)"
21,R 449 995,BMW M3 Coupe M Dynamic ,2008,79 500 Km,Manual,Petrol,"S5 Auto(Pietermaritzburg, Kwazulu Natal)"
22,R 459 000,BMW M3 Convertible M Dynamic M-dct ,2013,112 000 Km,Automatic,Petrol,"AHK Motor World(Potchefstroom, North West Province)"
23,R 499 900,BMW M3 CONVERTIBLE M-DCT M-DYNAMIC 98000KMS,2012,98 000 Km,Automatic,Petrol,"ACS PreOwned(Benoni, Gauteng)"
24,R 499 999,BMW M3 Coupe M Dynamic M-dct ,2010,113 000 Km,Automatic,Petrol,"Action Motors(Lenasia, Gauteng)"
25,R 579 990,BMW M3 Coupe M-dct ,2011,72 000 Km,Automatic,Petrol,"SMG BMW Durban(Durban, Kwazulu Natal)"
26,R 589 900,BMW M3 M3 F80 FACELIFT M DCT LED LIGHTS,2014,89 000 Km,Automatic,Petrol,"ACS PreOwned(Benoni, Gauteng)"
27,R 629 900,BMW M3 M-DCT,2014,64 000 Km,Automatic,Petrol,"Best Price For My Car(Goodwood, Western Cape)"
28,R 639 900,BMW M3 M-DCT,2014,69 400 Km,Automatic,Petrol,"Primo Executive Cars(Edenvale, Gauteng)"
29,R 689 900,BMW M3 M3 M-dct,2015,30 000 Km,Automatic,Petrol,"Northcliff Exclusive Cars(Randburg, Gauteng)"
30,R 699 990,BMW M3 Coupe M-dct ,2012,46 000 Km,Automatic,Petrol,"Auto Integrity(Pretoria, Gauteng)"
31,R 719 995,BMW M3 M-dct ,2016,68 000 Km,Automatic,Petrol,"McCarthy VW Westgate(Roodepoort, Gauteng)"
32,R 758 990,BMW M3 M3,2016,55 000 Km,Manual,Petrol,"SMG BMW Durban(Durban, Kwazulu Natal)"
33,R 769 999,BMW M3 M-DCT Competition,2016,65 000 Km,Automatic,Petrol,"Anglo Auto(Athlone, Western Cape)"
34,R 799 000,BMW M3 M-DCT,2016,25 222 Km,Automatic,Petrol,"Williams Hunt Centurion(Centurion, Gauteng)"
35,R 799 900,BMW M3 M-DCT Competition,2018,56 457 Km,Automatic,Petrol,"BMW Fourways(Four Ways, Gauteng)"
36,R 799 900,BMW M3 Frozen Edition ,2011,72 000 Km,Automatic,Petrol,"BMW Sandton(Sandton, Gauteng)"
37,R 849 995,BMW M3 M-DCT,2015,49 100 Km,Automatic,Petrol,"Autoworld Goodwood(Goodwood, Western Cape)"
38,R 899 600,BMW M3 M-DCT Competition,2018,47 764 Km,Automatic,Petrol,"Best Price For My Car(Goodwood, Western Cape)"
39,R 899 950,BMW M3 M-DCT Competition,2016,48 000 Km,Automatic,Petrol,"Classic Auto(Randburg, Gauteng)"
40,R 899 995,BMW M3 Coupe M Dynamic M-dct ,2009,23 600 Km,Automatic,Petrol,"Ayob Motors(Louis Trichardt, Limpopo)"
41,R 1 099 900,BMW M3 M-DCT 30 Jahre Edition,2016,26 205 Km,Automatic,Petrol,"Struben Street Motors(Pretoria, Gauteng)"
42,R 1 100 000,BMW M3 M-DCT,2018,17 500 Km,Automatic,Petrol,"Allen Street Motors(Newcastle, Kwazulu Natal)"
43,R 1 100 000,BMW M3 FROZEN EDITION,2012,27 793 Km,Automatic,Petrol,"EAE Motors(Vereeniging, Gauteng)"
44,R 1 120 000,BMW M3 M-DCT 30 Jahre Edition,2017,30 000 Km,Automatic,Petrol,"BMW Northcliff Used Cars(Roodepoort, Gauteng)"
45,R 1 149 000,BMW M3 M-DCT Competition,2019,18 000 Km,Automatic,Petrol,"Lindsay Saker Audi Centre Sandton(Sandton, Gauteng)"
46,R 1 199 000,BMW M3 M-DCT,2019,17 127 Km,Automatic,Petrol,"Autobahn BMW(Kempton Park, Gauteng)"
47,R 1 199 000,BMW M3 M-DCT 30 Jahre Edition,2017,32 000 Km,Automatic,Petrol,"BMW Mbombela(Nelspruit, Mpumalanga)"
48,R 1 298 990,BMW M3 M-DCT Competition,2018,18 000 Km,Automatic,Petrol,"SMG BMW Durban(Durban, Kwazulu Natal)"
49,R 1 299 000,BMW M3 M-DCT Competition,2019,11 360 Km,Automatic,Petrol,"BMW Westrand(Roodepoort, Gauteng)"
50,R 1 299 000,BMW M3 M-DCT Competition,2019,14 824 Km,Automatic,Petrol,"BMW Westrand(Roodepoort, Gauteng)"
51,R 1 299 000,BMW M3 M-DCT Competition,2019,8 741 Km,Automatic,Petrol,"BMW Westrand(Roodepoort, Gauteng)"
52,R 1 349 950,BMW M3 CS M-DCT (F80),2018,38 000 Km,Automatic,Petrol,"Woodmead Auto(Sandton, Gauteng)"
53,R 1 499 999,BMW M3 M-DCT 30 Jahre Edition,2016,1 500 Km,Automatic,Petrol,"Carbon Black Auto(Sandton, Gauteng)"
54,R 1 699 000,BMW M3 CS M-DCT (F80),2019,6 000 Km,Automatic,Petrol,"BMW Bedfordview(Germiston, Gauteng)"
55,R 2 199 990,BMW M3 Competition (G80),2021,360 Km,Automatic,Petrol,"Funnell Cars Waterfall(Kwazulu/natal, Kwazulu Natal)"
