,Price,Locate,Address,Beds,,,,,,
4823,R2 000,Marina Da Gama,,1,,,,,,
3851,R3 000,Mowbray,18 Queen Street Mowbray,1,,,,,,
3874,R3 000,Rosebank,26 Liesbeek W Rd,1,,,,,,
2264,R3 300,Rosebank,,2,,,,,,
4457,R3 400,Tamboerskloof,,,,,,,,
2407,R3 500,Observatory,,1,,,,,,
2461,R3 500,Observatory,,1,,,,,,
3269,R3 500,Grassy Park,22 Sixth,1,,,,,,
3756,R3 500,Athlone,Aden Court 4 Aden Avenue,1,,,,,,
4190,R3 500,Maitland,,1,,,,,,
3010,R3 600,Belhar,,1,,,,,,
4040,R3 600,Mowbray,"Strubens Ridge, 8 Strubens Road",3,,,,,,
4950,R3 900,Maitland,,1,,,,,,
3418,R3 990,Maitland,Amstel Road Maitland,,,,,,,
3544,R3 990,Maitland,10 Amstel Road,,,,,,,
1240,R4 000,Rondebosch,189 Main Rd,1,,,,,,
1954,R4 000,Grassy Park,,1,,,,,,
2069,R4 000,Rosebank,"Dunvegan Gardens, 5 Hope Road, Rosebank",3,,,,,,
2783,R4 000,Wynberg,"Grand Central, 227 Main Road",1,,,,,,
3034,R4 000,Mowbray,,3,,,,,,
3437,R4 000,Southfield,,1,,,,,,
3753,R4 000,Mowbray,18 Queen Street Mowbray,2,,,,,,
3145,R4 200,Rosebank,Upper Liesbeek Road,3,,,,,,
3219,R4 250,Rosebank,21 Lower Nursery Rd,1,,,,,,
1189,R4 300,Diep River,,1,,,,,,
3604,R4 350,Maitland,10 Amstel Road,,,,,,,
1673,R4 400,Zonnebloem,31 Constitution Street,1,,,,,,
493,R4 500,Rosebank,4 Hope Rd Ravedis Rosebank,1,,,,,,
806,R4 500,Sea Point,1a London Road,0.5,,,,,,
1414,R4 500,Rosebank,,1,,,,,,
1615,R4 500,Observatory,1 Weymouth Rd,1,,,,,,
1920,R4 500,Rosebank,5 Hope Road,1,,,,,,
1958,R4 500,Green Point,2 Cavalcade Rd,1,,,,,,
2093,R4 500,Rondebosch,3 Rustenburg Ave,5,,,,,,
2318,R4 500,Ottery,,1,,,,,,
2761,R4 500,Kensington,,1,,,,,,
2791,R4 500,Plumstead,"Musgrave Park, 40 Old Kendal Road, Diep River, Cape Town",1,,,,,,
3238,R4 500,Mowbray,"Volterra, 9 Upper Durban Road, Mowbray",3,,,,,,
3258,R4 500,Observatory,38 Lower Rochester Road,3,,,,,,
3336,R4 500,Zonnebloem,,2,,,,,,
3366,R4 500,Observatory,38 Lower Rochester Road,3,,,,,,
3479,R4 500,Cape Town City Centre,,1,,,,,,
3586,R4 500,Crawford,,1,,,,,,
3906,R4 500,Diep River,,0.5,,,,,,
4007,R4 500,Wynberg,,1,,,,,,
4019,R4 500,Claremont Upper,,1,,,,,,
4417,R4 500,Wynberg,,0.5,,,,,,
4467,R4 500,Wynberg,,,,,,,,
4616,R4 500,Rosebank,"Mount Royal, 5 York Road, Rosebank",2,,,,,,
4724,R4 500,Wynberg,,0.5,,,,,,
4872,R4 500,Wynberg,,0.5,,,,,,
189,R4 750,Observatory,145 Lower Main Road,1,,,,,,
927,R4 750,Observatory,,2,,,,,,
938,R4 750,Observatory,,2,,,,,,
3013,R4 800,Kensington,,1,,,,,,
3108,R4 800,Wynberg,,1,,,,,,
4760,R4 800,Wynberg,,1,,,,,,
5051,R4 800,Wynberg,,1,,,,,,
1695,R4 900,Rosebank,18 Liesbeek W Rd,3,,,,,,
3331,R4 900,Retreat,"The Pines, 5 Chad",1,,,,,,
3719,R4 900,Wynberg,,1,,,,,,
3726,R4 900,Wynberg,,1,,,,,,
3968,R4 900,Maitland,"92 Mountain View Villas, 21 Royal Road",1,,,,,,
